GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeDTO,67,115,6,0,22,49,7,33,4,33
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RatingDTO,68,59,6,0,22,25,7,17,4,17
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,InstructionDTO,47,45,6,0,14,19,6,13,3,13
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,ProfileDTO,47,0,0,0,20,0,12,0,12,0
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,AdminUserDTO,0,190,0,0,0,58,0,29,0,29
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeBookDTO,52,73,6,0,16,31,6,21,3,21
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,FavoriteRelationDTO,44,24,6,0,12,10,6,7,3,7
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeBookRelationDTO,44,24,6,0,12,10,6,7,3,7
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,UserDTO,61,49,14,0,10,21,10,12,3,12
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,IngredientDTO,48,38,6,0,14,16,6,11,3,11
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RatingMapperImpl,553,176,86,18,142,51,58,11,10,7
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookMapperImpl,254,200,37,17,69,57,28,11,6,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,InstructionMapperImpl,560,176,89,17,149,45,62,9,11,7
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookRelationMapperImpl,728,65,108,8,191,21,72,6,14,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookMapper,0,3,0,0,0,1,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeMapperImpl,357,354,55,27,94,88,44,13,8,8
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,IngredientMapperImpl,633,106,103,11,166,32,67,7,11,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,FavoriteRelationMapperImpl,615,65,88,8,159,21,60,6,12,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeMapper,160,40,12,6,41,15,13,5,4,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,UserMapper,150,80,16,2,42,22,19,4,10,4
Szakdolgozat,com.szakdologzat.repiceapp.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.service,IngredientService,0,144,0,0,0,29,0,10,0,10
Szakdolgozat,com.szakdologzat.repiceapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.service,UserService,51,461,13,9,16,128,14,18,4,17
Szakdolgozat,com.szakdologzat.repiceapp.service,RecipeBookRelationService,138,149,4,0,31,37,9,9,7,9
Szakdolgozat,com.szakdologzat.repiceapp.service,RecipeService,94,369,21,9,22,74,19,21,4,21
Szakdolgozat,com.szakdologzat.repiceapp.service,RecipeBookService,109,134,4,0,20,31,10,8,8,8
Szakdolgozat,com.szakdologzat.repiceapp.service,ImageService,79,3,4,0,18,1,5,1,3,1
Szakdolgozat,com.szakdologzat.repiceapp.service,FavoriteRelationService,21,119,0,0,4,29,1,9,1,9
Szakdolgozat,com.szakdologzat.repiceapp.service,RatingService,0,134,0,0,0,28,0,9,0,9
Szakdolgozat,com.szakdologzat.repiceapp.service,InstructionService,0,134,0,0,0,28,0,9,0,9
Szakdolgozat,com.szakdologzat.repiceapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.domain.enumeration,FoodType,0,45,0,0,0,8,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.domain.enumeration,FoodCategory,0,123,0,0,0,21,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.domain.enumeration,Unit,0,21,0,0,0,4,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.web,ImageControllerMvc,38,3,0,0,8,1,1,1,1,1
Szakdolgozat,com.szakdologzat.repiceapp.aop.logging,LoggingAspect,117,0,10,0,25,0,11,0,6,0
Szakdolgozat,com.szakdologzat.repiceapp.config,LiquibaseConfiguration,14,95,2,2,4,24,2,3,0,3
Szakdolgozat,com.szakdologzat.repiceapp.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Szakdolgozat,com.szakdologzat.repiceapp.config,SecurityConfiguration.SpaCsrfTokenRequestHandler,5,27,1,1,1,6,1,3,0,3
Szakdolgozat,com.szakdologzat.repiceapp.config,LoggingConfiguration,11,42,4,4,3,12,4,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.config,JacksonConfiguration,0,18,0,0,0,4,0,4,0,4
Szakdolgozat,com.szakdologzat.repiceapp.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Szakdolgozat,com.szakdologzat.repiceapp.config,DatabaseConfiguration,39,10,4,0,10,4,4,2,2,2
Szakdolgozat,com.szakdologzat.repiceapp.config,SecurityConfiguration,40,469,1,1,3,59,5,13,4,13
Szakdolgozat,com.szakdologzat.repiceapp.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Szakdolgozat,com.szakdologzat.repiceapp.config,ApplicationProperties.Liquibase,7,3,0,0,3,1,2,1,2,1
Szakdolgozat,com.szakdologzat.repiceapp.config,StaticResourcesWebConfiguration,86,0,0,0,13,0,7,0,7,0
Szakdolgozat,com.szakdologzat.repiceapp.config,ApplicationProperties,3,8,0,0,1,2,1,1,1,1
Szakdolgozat,com.szakdologzat.repiceapp.config,CacheConfiguration,0,175,0,2,0,41,0,10,0,9
